season,batter,runs,balls,matches,avg_runs_per_match,strike_rate
2008.0,A Chopra,42,55,5,8.4,76.36
2008.0,A Kumble,13,17,4,3.25,76.47
2008.0,A Mishra,37,42,3,12.33,88.1
2008.0,A Mukund,0,1,1,0.0,0.0
2008.0,A Nehra,3,13,3,1.0,23.08
2008.0,A Symonds,161,111,3,53.67,145.05
2008.0,AA Noffke,9,12,1,9.0,75.0
2008.0,AB Agarkar,54,49,6,9.0,110.2
2008.0,AB Dinda,2,4,2,1.0,50.0
2008.0,AB de Villiers,95,100,6,15.83,95.0
2008.0,AC Gilchrist,436,328,14,31.14,132.93
2008.0,AD Mascarenhas,9,8,1,9.0,112.5
2008.0,AM Nayar,206,142,10,20.6,145.07
2008.0,AM Rahane,4,19,2,2.0,21.05
2008.0,AS Yadav,49,40,6,8.17,122.5
2008.0,Abdur Razzak,0,2,1,0.0,0.0
2008.0,B Akhil,46,32,7,6.57,143.75
2008.0,B Chipli,20,30,3,6.67,66.67
2008.0,B Lee,17,14,3,5.67,121.43
2008.0,BB McCullum,188,96,4,47.0,195.83
2008.0,BJ Hodge,12,18,3,4.0,66.67
2008.0,CK Kapugedera,16,24,3,5.33,66.67
2008.0,CL White,114,105,8,14.25,108.57
2008.0,CRD Fernando,2,1,1,2.0,200.0
2008.0,D Kalyankrishna,3,8,1,3.0,37.5
2008.0,D Salunkhe,33,24,3,11.0,137.5
2008.0,DB Das,103,95,6,17.17,108.42
2008.0,DB Ravi Teja,109,85,6,18.17,128.24
2008.0,DJ Bravo,178,137,7,25.43,129.93
2008.0,DJ Hussey,319,267,13,24.54,119.48
2008.0,DJ Thornely,39,54,4,9.75,72.22
2008.0,DNT Zoysa,11,9,2,5.5,122.22
2008.0,DP Vijaykumar,1,1,1,1.0,100.0
2008.0,DPMD Jayawardene,179,138,12,14.92,129.71
2008.0,DR Smith,45,41,3,15.0,109.76
2008.0,DS Kulkarni,2,17,1,2.0,11.76
2008.0,DS Lehmann,18,19,2,9.0,94.74
2008.0,DT Patil,13,13,2,6.5,100.0
2008.0,DW Steyn,2,5,2,1.0,40.0
2008.0,G Gambhir,534,394,14,38.14,135.53
2008.0,GC Smith,441,375,11,40.09,117.6
2008.0,GD McGrath,4,5,2,2.0,80.0
2008.0,H Das,2,5,1,2.0,40.0
2008.0,HH Gibbs,167,159,9,18.56,105.03
2008.0,Harbhajan Singh,30,17,3,10.0,176.47
2008.0,I Sharma,11,11,5,2.2,100.0
2008.0,IK Pathan,131,120,10,13.1,109.17
2008.0,Iqbal Abdulla,1,2,1,1.0,50.0
2008.0,J Arunkumar,23,24,3,7.67,95.83
2008.0,JA Morkel,241,168,10,24.1,143.45
2008.0,JDP Oram,18,13,2,9.0,138.46
2008.0,JH Kallis,199,188,11,18.09,105.85
2008.0,JR Hopes,221,152,11,20.09,145.39
2008.0,Joginder Sharma,16,11,2,8.0,145.45
2008.0,K Goel,76,79,6,12.67,96.2
