season,bowler,runs_conceded,balls_bowled,wickets,matches,economy,wickets_per_match
2008.0,A Kumble,314,236,8,10,7.98,0.8
2008.0,A Mishra,140,123,11,6,6.83,1.83
2008.0,A Nehra,357,280,14,14,7.65,1.0
2008.0,A Nel,31,18,1,1,10.33,1.0
2008.0,A Symonds,106,44,0,3,14.45,0.0
2008.0,AA Noffke,41,25,1,1,9.84,1.0
2008.0,AB Agarkar,211,168,8,9,7.54,0.89
2008.0,AB Dinda,266,245,11,12,6.51,0.92
2008.0,AD Mascarenhas,31,25,2,1,7.44,2.0
2008.0,AM Nayar,69,43,1,5,9.63,0.2
2008.0,Abdur Razzak,29,14,0,1,12.43,0.0
2008.0,B Akhil,138,105,3,6,7.89,0.5
2008.0,B Geeves,91,49,2,2,11.14,1.0
2008.0,B Lee,118,99,5,4,7.15,1.25
2008.0,BAW Mendis,24,24,1,1,6.0,1.0
2008.0,CK Kapugedera,49,17,0,3,17.29,0.0
2008.0,CL White,24,7,0,1,20.57,0.0
2008.0,CRD Fernando,164,128,12,5,7.69,2.4
2008.0,D Kalyankrishna,88,50,2,3,10.56,0.67
2008.0,D Salunkhe,80,51,1,5,9.41,0.2
2008.0,DB Ravi Teja,19,12,1,1,9.5,1.0
2008.0,DJ Bravo,239,181,11,9,7.92,1.22
2008.0,DJ Hussey,134,79,3,5,10.18,0.6
2008.0,DJ Thornely,40,44,3,4,5.45,0.75
2008.0,DL Vettori,54,48,2,2,6.75,1.0
2008.0,DNT Zoysa,100,69,2,3,8.7,0.67
2008.0,DP Vijaykumar,205,159,4,9,7.74,0.44
2008.0,DR Smith,83,69,5,4,7.22,1.25
2008.0,DS Kulkarni,242,193,13,10,7.52,1.3
2008.0,DW Steyn,265,247,13,10,6.44,1.3
2008.0,GD McGrath,366,329,14,14,6.67,1.0
2008.0,Gagandeep Singh,142,84,3,4,10.14,0.75
2008.0,Harbhajan Singh,84,62,6,3,8.13,2.0
2008.0,I Sharma,348,266,7,13,7.85,0.54
2008.0,IK Pathan,361,336,20,14,6.45,1.43
2008.0,Iqbal Abdulla,22,18,1,1,7.33,1.0
2008.0,JA Morkel,414,310,20,13,8.01,1.54
2008.0,JDP Oram,149,100,6,4,8.94,1.5
2008.0,JH Kallis,322,211,4,11,9.16,0.36
2008.0,JR Hopes,285,171,7,11,10.0,0.64
2008.0,Joginder Sharma,241,158,9,7,9.15,1.29
2008.0,K Goel,25,12,0,1,12.5,0.0
2008.0,L Balaji,293,205,11,9,8.58,1.22
2008.0,LPC Silva,21,6,0,1,21.0,0.0
2008.0,LR Shukla,126,78,6,9,9.69,0.67
2008.0,M Kartik,132,89,5,5,8.9,1.0
2008.0,M Muralitharan,416,369,11,15,6.76,0.73
2008.0,M Ntini,257,213,8,9,7.24,0.89
2008.0,MA Khote,52,30,2,2,10.4,1.0
2008.0,MF Maharoof,255,226,19,10,6.77,1.9
2008.0,MM Patel,423,336,16,15,7.55,1.07
2008.0,MS Gony,456,371,18,16,7.37,1.12
2008.0,Mohammad Asif,307,199,9,8,9.26,1.12
2008.0,Mohammad Hafeez,71,63,2,4,6.76,0.5
2008.0,P Amarnath,241,132,7,6,10.95,1.17
2008.0,P Kumar,376,275,12,13,8.2,0.92
2008.0,PJ Sangwan,221,155,7,7,8.55,1.0
2008.0,PM Sarvesh Kumar,42,31,1,2,8.13,0.5
2008.0,PP Chawla,396,286,19,15,8.31,1.27
2008.0,PP Ojha,299,236,11,12,7.6,0.92
2008.0,Pankaj Singh,129,76,0,5,10.18,0.0
2008.0,R Bhatia,185,134,9,9,8.28,1.0
2008.0,R Vinay Kumar,183,141,7,8,7.79,0.88
2008.0,RA Jadeja,21,13,1,2,9.69,0.5
2008.0,RG Sharma,26,25,1,1,6.24,1.0
2008.0,RP Singh,459,325,17,14,8.47,1.21
