id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,team1_encoded,team2_encoded,venue_encoded,team1_won,toss_winner_is_team1,toss_bat_first,team1_win_rate,team2_win_rate,win_rate_diff,team1_recent_form,team2_recent_form,form_diff,h2h_win_rate,venue_avg_score,team1_venue_avg,team2_venue_avg,team1_batting_avg,team2_batting_avg,team1_bowling_avg,team2_bowling_avg,team1_batting_form,team2_batting_form,team1_bowling_form,team2_bowling_form,team1_toss_venue_pct,team2_toss_venue_pct,team1_league_win_rate,team2_league_win_rate,team1_playoff_win_rate,team2_playoff_win_rate,team1_is_home,team2_is_home,match_number,total_season_matches,season_stage,is_early_season,is_late_season,team1_last2_win_rate,team2_last2_win_rate,team1_vs_opp_bowling,team2_vs_opp_bowling,team1_bowling_vs_opp,team2_bowling_vs_opp,team1_avg_sr,team2_avg_sr,team1_avg_economy,team2_avg_economy,team1_win_streak,team2_win_streak,team1_pp_avg,team2_pp_avg,team1_death_avg,team2_death_avg,team1_pp_wickets,team2_pp_wickets,team1_captain,team2_captain,team1_captain_win_rate,team2_captain_win_rate,team1_captain_exp,team2_captain_exp,captain_h2h_win_rate
335982,2008,Bangalore,2008-04-18,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140.0,223.0,20.0,N,,Asad Rauf,RE Koertzen,13,6,19,0,1,0,0.4880952380952381,0.5219123505976095,-0.03381711250237146,0.5,0.5,0.0,0.5,167.25396825396825,171.8709677419355,144.0,168.73846153846154,164.275,166.84,161.17557251908397,23.452305862492327,23.254623235113566,1.0821030284428075,1.0955954573357887,0.3728813559322034,0.36363636363636365,0.4957627118644068,0.5127118644067796,0.375,0.6666666666666666,1,0,1,58,0.017241379310344827,1,0,0.5,0.5,161.17557251908397,166.84,168.73846153846154,164.275,143.4213618165433,137.46217748468786,4.96,6.135347100564492,0,0,46.254901960784316,47.57370517928287,47.60504201680672,43.44635193133047,1.8564102564102565,1.783068783068783,R Dravid,SC Ganguly,0.286,0.343,14.0,99.0,0.5
335983,2008,Chandigarh,2008-04-19,League,MEK Hussey,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,241.0,20.0,N,,MR Benson,SL Shastri,10,0,33,0,0,0,0.45528455284552843,0.5822784810126582,-0.1269939281671298,0.5,0.5,0.0,0.5,163.47826086956522,160.91666666666666,214.0,163.7421875,169.93846153846152,171.66949152542372,162.02777777777777,23.452305862492327,23.254623235113566,1.0821030284428075,1.0955954573357887,0.43478260869565216,0.5,0.45867768595041325,0.5734597156398105,0.25,0.6538461538461539,1,0,2,58,0.034482758620689655,1,0,0.5,0.5,162.02777777777777,171.66949152542372,163.7421875,169.93846153846152,134.55238385973908,132.22794572130405,3.2076502732240435,5.433402182661129,0,0,47.947154471544714,46.37552742616034,44.57446808510638,47.81896551724138,1.7765957446808511,1.925531914893617,YK Pathan,MS Dhoni,0.488,0.555,43.0,265.0,0.5
335984,2008,Delhi,2008-04-19,League,MF Maharoof,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,130.0,20.0,N,,Aleem Dar,GA Pratapkumar,2,11,1,1,0,0,0.46,0.5114155251141552,-0.0514155251141552,0.5,0.5,0.0,0.5,171.02666666666667,169.2051282051282,171.25,161.97345132743362,163.6893203883495,167.61870503597123,165.24576271186442,23.452305862492327,23.254623235113566,1.0821030284428075,1.0955954573357887,0.44776119402985076,0.5,0.47280334728033474,0.5144230769230769,0.18181818181818182,0.45454545454545453,1,0,3,58,0.05172413793103448,1,0,0.5,0.5,165.24576271186442,167.61870503597123,161.97345132743362,163.6893203883495,137.21377611821546,134.06857462588258,6.20779998502882,5.21832884097035,0,0,47.892857142857146,46.481818181818184,42.76890756302521,43.49047619047619,1.8505154639175259,1.8641304347826086,V Sehwag,SM Watson,0.527,0.554,74.0,56.0,0.5
335985,2008,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5.0,166.0,20.0,N,,SJ Davis,DJ Harper,8,13,47,0,1,1,0.5517241379310345,0.4880952380952381,0.0636288998357964,0.5,0.0,0.5,0.5,170.25423728813558,170.17073170731706,187.66666666666666,166.71641791044777,168.73846153846154,166.35433070866142,166.84,23.452305862492327,5.666666666666667,1.0821030284428075,0.5,0.5882352941176471,0.4444444444444444,0.5435684647302904,0.4957627118644068,0.65,0.375,1,0,4,58,0.06896551724137931,1,0,0.5,0.5,166.84,166.35433070866142,166.71641791044777,168.73846153846154,134.27328721015746,143.4213618165433,4.133333333333333,4.96,0,0,46.839080459770116,46.254901960784316,47.366533864541836,47.60504201680672,1.8985507246376812,1.8564102564102565,ST Jayasuriya,R Dravid,0.444,0.286,27.0,14.0,0.5
335986,2008,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,111.0,20.0,N,,BF Bowden,K Hariharan,6,1,12,1,0,0,0.5219123505976095,0.38666666666666666,0.13524568393094288,1.0,0.5,0.5,0.5,166.27956989247312,172.75510204081633,110.0,164.275,157.32558139534885,161.17557251908397,162.71875,9.0,23.254623235113566,2.5,1.0955954573357887,0.4431818181818182,0.3333333333333333,0.5127118644067796,0.38028169014084506,0.6666666666666666,0.5,1,0,5,58,0.08620689655172414,1,0,0.5,0.5,162.71875,161.17557251908397,164.275,157.32558139534885,137.46217748468786,132.06418132331055,6.135347100564492,6.366086956521738,1,0,47.57370517928287,45.56,43.44635193133047,43.513888888888886,1.783068783068783,1.859375,SC Ganguly,VVS Laxman,0.343,0.143,99.0,14.0,0.5
335987,2008,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6.0,167.0,20.0,N,,Aleem Dar,RB Tiffin,11,10,39,1,0,0,0.5114155251141552,0.45528455284552843,0.05613097226862679,0.0,0.0,0.0,0.5,161.50877192982455,166.5,156.75,163.6893203883495,163.7421875,165.24576271186442,171.66949152542372,17.0,33.666666666666664,0.0,1.3333333333333333,0.5263157894736842,0.5,0.5144230769230769,0.45867768595041325,0.45454545454545453,0.25,1,0,6,58,0.10344827586206896,1,0,0.5,0.5,171.66949152542372,165.24576271186442,163.6893203883495,163.7421875,134.06857462588258,134.55238385973908,5.21832884097035,3.2076502732240435,0,0,46.481818181818184,47.947154471544714,43.49047619047619,44.57446808510638,1.8641304347826086,1.7765957446808511,SM Watson,YK Pathan,0.554,0.488,56.0,43.0,0.5
335988,2008,Hyderabad,2008-04-22,League,V Sehwag,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9.0,143.0,20.0,N,,IL Howell,AM Saheba,1,2,36,0,1,1,0.38666666666666666,0.46,-0.07333333333333336,0.0,1.0,-1.0,0.5,162.90322580645162,161.58333333333334,112.0,157.32558139534885,161.97345132743362,162.71875,167.61870503597123,14.0,40.666666666666664,1.0,2.5,0.5,0.5714285714285714,0.38028169014084506,0.47280334728033474,0.5,0.18181818181818182,1,0,7,58,0.1206896551724138,1,0,0.5,0.5,167.61870503597123,162.71875,157.32558139534885,161.97345132743362,132.06418132331055,137.21377611821546,6.366086956521738,6.20779998502882,0,1,45.56,47.892857142857146,43.513888888888886,42.76890756302521,1.859375,1.8505154639175259,VVS Laxman,V Sehwag,0.143,0.527,14.0,74.0,0.5
335989,2008,Chennai,2008-04-23,League,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,209.0,20.0,N,,DJ Harper,GA Pratapkumar,0,8,22,1,0,1,0.5822784810126582,0.5517241379310345,0.030554343081623747,1.0,0.0,1.0,0.5,166.02083333333334,169.66666666666666,148.0,169.93846153846152,166.71641791044777,162.02777777777777,166.35433070866142,18.5,23.333333333333332,0.6666666666666666,1.0,0.48936170212765956,0.6666666666666666,0.5734597156398105,0.5435684647302904,0.6538461538461539,0.65,1,0,8,58,0.13793103448275862,1,0,0.5,0.5,166.35433070866142,162.02777777777777,169.93846153846152,166.71641791044777,132.22794572130405,134.27328721015746,5.433402182661129,4.133333333333333,1,0,46.37552742616034,46.839080459770116,47.81896551724138,47.366533864541836,1.925531914893617,1.8985507246376812,MS Dhoni,ST Jayasuriya,0.555,0.444,265.0,27.0,0.5
335990,2008,Hyderabad,2008-04-24,League,YK Pathan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,215.0,20.0,N,,Asad Rauf,MR Benson,1,11,36,0,0,1,0.38666666666666666,0.5114155251141552,-0.12474885844748856,0.0,0.5,-0.5,0.5,162.90322580645162,161.58333333333334,164.5,157.32558139534885,163.6893203883495,162.71875,165.24576271186442,16.75,9.833333333333334,0.5,0.6666666666666666,0.5,0.5,0.38028169014084506,0.5144230769230769,0.5,0.45454545454545453,1,0,9,58,0.15517241379310345,1,0,0.5,0.5,165.24576271186442,162.71875,157.32558139534885,163.6893203883495,132.06418132331055,134.06857462588258,6.366086956521738,5.21832884097035,0,1,45.56,46.481818181818184,43.513888888888886,43.49047619047619,1.859375,1.8641304347826086,VVS Laxman,SM Watson,0.143,0.554,14.0,56.0,0.5
335991,2008,Chandigarh,2008-04-25,League,KC Sangakkara,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66.0,183.0,20.0,N,,Aleem Dar,AM Saheba,10,8,33,1,0,1,0.45528455284552843,0.5517241379310345,-0.09643958508550604,0.0,0.0,0.0,0.5,163.47826086956522,160.91666666666666,171.66666666666666,163.7421875,166.71641791044777,171.66949152542372,166.35433070866142,25.5,30.666666666666668,0.8333333333333334,1.1666666666666667,0.43478260869565216,0.7142857142857143,0.45867768595041325,0.5435684647302904,0.25,0.65,1,0,10,58,0.1724137931034483,1,0,0.5,0.5,166.35433070866142,171.66949152542372,163.7421875,166.71641791044777,134.55238385973908,134.27328721015746,3.2076502732240435,4.133333333333333,0,0,47.947154471544714,46.839080459770116,44.57446808510638,47.366533864541836,1.7765957446808511,1.8985507246376812,YK Pathan,ST Jayasuriya,0.488,0.444,43.0,27.0,0.5
