season,team,player,matches_played,batter,avg_runs_per_match,strike_rate
2008.0,Chennai Super Kings,CK Kapugedera,3,CK Kapugedera,5.33,66.67
2008.0,Chennai Super Kings,JA Morkel,10,JA Morkel,24.1,143.45
2008.0,Chennai Super Kings,MEK Hussey,3,MEK Hussey,56.0,168.0
2008.0,Chennai Super Kings,ML Hayden,4,ML Hayden,47.25,140.0
2008.0,Chennai Super Kings,MS Dhoni,14,MS Dhoni,29.57,129.78
2008.0,Chennai Super Kings,MS Gony,5,MS Gony,7.0,140.0
2008.0,Chennai Super Kings,PA Patel,13,PA Patel,23.23,95.87
2008.0,Chennai Super Kings,S Badrinath,11,S Badrinath,17.45,139.13
2008.0,Chennai Super Kings,S Vidyut,8,S Vidyut,18.12,126.09
2008.0,Chennai Super Kings,SK Raina,14,SK Raina,30.07,138.49
2008.0,Chennai Super Kings,SP Fleming,10,SP Fleming,19.6,114.62
2008.0,Deccan Chargers,A Symonds,3,A Symonds,53.67,145.05
2008.0,Deccan Chargers,AC Gilchrist,14,AC Gilchrist,31.14,132.93
2008.0,Deccan Chargers,AS Yadav,6,AS Yadav,8.17,122.5
2008.0,Deccan Chargers,DB Ravi Teja,6,DB Ravi Teja,18.17,128.24
2008.0,Deccan Chargers,HH Gibbs,9,HH Gibbs,18.56,105.03
2008.0,Deccan Chargers,LPC Silva,3,LPC Silva,13.33,148.15
2008.0,Deccan Chargers,PP Ojha,3,PP Ojha,0.67,50.0
2008.0,Deccan Chargers,RG Sharma,12,RG Sharma,33.67,146.38
2008.0,Deccan Chargers,RP Singh,9,RP Singh,3.0,108.0
2008.0,Deccan Chargers,SB Bangar,6,SB Bangar,7.83,95.92
2008.0,Deccan Chargers,SB Styris,8,SB Styris,14.0,90.32
2008.0,Deccan Chargers,Shahid Afridi,9,Shahid Afridi,9.0,176.09
2008.0,Deccan Chargers,VVS Laxman,6,VVS Laxman,25.83,115.67
2008.0,Deccan Chargers,WPUJC Vaas,4,WPUJC Vaas,5.25,116.67
2008.0,Deccan Chargers,Y Venugopal Rao,10,Y Venugopal Rao,28.8,132.72
2008.0,Delhi Daredevils,A Mishra,3,A Mishra,12.33,88.1
2008.0,Delhi Daredevils,AB de Villiers,6,AB de Villiers,15.83,95.0
2008.0,Delhi Daredevils,G Gambhir,14,G Gambhir,38.14,135.53
2008.0,Delhi Daredevils,KD Karthik,8,KD Karthik,18.12,134.26
2008.0,Delhi Daredevils,MF Maharoof,8,MF Maharoof,15.62,158.23
2008.0,Delhi Daredevils,MK Tiwary,7,MK Tiwary,14.86,119.54
2008.0,Delhi Daredevils,R Bhatia,3,R Bhatia,11.33,121.43
2008.0,Delhi Daredevils,S Dhawan,14,S Dhawan,24.29,110.39
2008.0,Delhi Daredevils,Shoaib Malik,5,Shoaib Malik,10.4,106.12
2008.0,Delhi Daredevils,TM Dilshan,7,TM Dilshan,14.86,131.65
2008.0,Delhi Daredevils,V Sehwag,14,V Sehwag,29.0,177.29
2008.0,Delhi Daredevils,VY Mahesh,5,VY Mahesh,3.0,53.57
