season,team,team_bat_avg,team_bat_sr
2008.0,Chennai Super Kings,40.7225,144.0675
2008.0,Deccan Chargers,36.82,139.27
2008.0,Delhi Daredevils,27.3875,139.3675
2008.0,Kings XI Punjab,35.83,149.4775
2008.0,Kolkata Knight Riders,31.490000000000002,133.81
2008.0,Mumbai Indians,27.965,123.43
2008.0,Rajasthan Royals,33.78,141.29250000000002
2008.0,Royal Challengers Bangalore,28.395,129.7575
2009.0,Chennai Super Kings,31.22,127.01499999999999
2009.0,Deccan Chargers,28.86,140.1975
2009.0,Delhi Daredevils,28.34,123.5425
2009.0,Kings XI Punjab,24.8325,111.47
2009.0,Kolkata Knight Riders,28.6525,128.805
2009.0,Mumbai Indians,25.3425,110.69
2009.0,Rajasthan Royals,20.36,113.545
2009.0,Royal Challengers Bangalore,28.525,122.3825
2010.0,Chennai Super Kings,28.3375,133.73000000000002
2010.0,Deccan Chargers,25.1725,119.25
2010.0,Delhi Daredevils,26.9425,138.335
2010.0,Kings XI Punjab,32.0725,129.1975
2010.0,Kolkata Knight Riders,28.925,120.6875
2010.0,Mumbai Indians,29.247500000000002,128.2175
2010.0,Rajasthan Royals,28.765,138.69
2010.0,Royal Challengers Bangalore,29.9475,142.04
2011.0,Chennai Super Kings,31.4175,132.3775
2011.0,Deccan Chargers,25.377499999999998,121.8675
2011.0,Delhi Daredevils,28.58,130.165
2011.0,Kings XI Punjab,30.425,122.345
2011.0,Kochi Tuskers Kerala,23.6,117.36500000000001
2011.0,Kolkata Knight Riders,29.8275,123.8825
2011.0,Mumbai Indians,27.317500000000003,118.9025
2011.0,Pune Warriors,24.119999999999997,125.28750000000001
2011.0,Rajasthan Royals,25.535,116.255
2011.0,Royal Challengers Bangalore,33.02,135.8775
2012.0,Chennai Super Kings,29.035,122.85249999999999
2012.0,Deccan Chargers,32.41,126.5975
2012.0,Delhi Daredevils,30.8475,142.47
2012.0,Kings XI Punjab,25.955,120.995
2012.0,Kolkata Knight Riders,28.32,116.715
2012.0,Mumbai Indians,26.2875,118.9325
2012.0,Pune Warriors,24.0475,119.5125
2012.0,Rajasthan Royals,31.615,127.3675
2012.0,Royal Challengers Bangalore,33.21,131.44
2013.0,Chennai Super Kings,31.875,138.0
2013.0,Delhi Daredevils,23.625,119.7525
2013.0,Kings XI Punjab,29.0775,129.345
2013.0,Kolkata Knight Riders,23.1725,126.70499999999998
2013.0,Mumbai Indians,27.9775,129.0025
2013.0,Pune Warriors,25.9,133.05
2013.0,Rajasthan Royals,27.4225,120.285
2013.0,Royal Challengers Bangalore,33.644999999999996,135.3675
2013.0,Sunrisers Hyderabad,22.655,116.7925
2014.0,Chennai Super Kings,31.5,128.5325
2014.0,Delhi Daredevils,25.2725,123.8175
2014.0,Kings XI Punjab,32.6825,149.2375
2014.0,Kolkata Knight Riders,27.6775,131.20000000000002
2014.0,Mumbai Indians,31.2825,130.81
2014.0,Rajasthan Royals,27.395,127.64
2014.0,Royal Challengers Bangalore,26.165,127.2475
2014.0,Sunrisers Hyderabad,27.9025,125.5275
2015.0,Chennai Super Kings,25.8525,125.7325
2015.0,Delhi Daredevils,27.78,120.56
2015.0,Kings XI Punjab,23.7775,128.31
2015.0,Kolkata Knight Riders,27.197499999999998,138.765
2015.0,Mumbai Indians,32.5225,133.095
2015.0,Rajasthan Royals,30.87,127.4425
2015.0,Royal Challengers Bangalore,32.394999999999996,151.44
2015.0,Sunrisers Hyderabad,29.505000000000003,131.875
2016.0,Delhi Daredevils,28.93,135.255
2016.0,Gujarat Lions,27.17,129.185
2016.0,Kings XI Punjab,28.5575,125.0825
2016.0,Kolkata Knight Riders,27.735,135.22750000000002
2016.0,Mumbai Indians,31.7625,142.25
2016.0,Rising Pune Supergiants,32.87,126.6875
2016.0,Royal Challengers Bangalore,39.8825,150.04500000000002
2016.0,Sunrisers Hyderabad,30.905,122.05250000000001
2017.0,Delhi Daredevils,26.22,141.755
2017.0,Gujarat Lions,29.0325,136.9225
2017.0,Kings XI Punjab,31.0725,144.15
2017.0,Kolkata Knight Riders,34.0275,144.89499999999998
2017.0,Mumbai Indians,26.1075,132.3975
2017.0,Rising Pune Supergiant,28.2625,133.3175
2017.0,Royal Challengers Bangalore,24.6475,125.2425
2017.0,Sunrisers Hyderabad,35.455,136.39249999999998
2018.0,Chennai Super Kings,33.655,141.275
2018.0,Delhi Daredevils,32.925,141.65
2018.0,Kings XI Punjab,32.5675,135.3975
2018.0,Kolkata Knight Riders,26.6725,157.015
2018.0,Mumbai Indians,27.325,134.495
2018.0,Rajasthan Royals,29.2025,132.9325
2018.0,Royal Challengers Bangalore,33.03,143.005
2018.0,Sunrisers Hyderabad,30.205000000000002,126.7025
2019.0,Chennai Super Kings,28.4025,124.0
2019.0,Delhi Capitals,28.6725,134.9675
2019.0,Kings XI Punjab,36.0125,138.625
